,prompt,response
0,,hey Monica how are you doing today
1,hey Monica how are you doing today,I'm okay right now but I'm a little anxious because thinking about how Black Friday is soon and my friends want to go to the mall for Black Friday but I really can't go and I want to go but I really to interesting
2,so it sounds like you really want to go to Black Friday with your friends you're feeling a little anxious about it,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well
3,yeah Monaco but interesting but I was thinking about it and maybe if I could make an image or something that I could use while I'm there maybe I'd be able to go so I was wondering if I could give you that very well,that sounds like a great idea can absolutely do that
4,that sounds like a great idea can absolutely do that,okay
5,okay,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you
6,so we have some materials on the table but if you'd like to use anything else that we've used previously just let me know and I'll get them to you for you,um do you have a Sharpie
7,um do you have a Sharpie,it do did you have a color that you wanted
8,it do did you have a color that you wanted,black maybe
9,black maybe,all right here
10,all right here,this
11,this,welcome
12,welcome,ok I think I'm done
13,ok I think I'm done,all right is there anything you'd like to tell me about it
14,all right is there anything you'd like to tell me about it,well I'm sure um I drew mountains and lake because when I think about things like Unicom I think of nature so I drew a scene that I think would keep me calm
15,so it sounds like nature and mountains are coming to you do you think that this will be helpful I'm black Franny,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious
16,yes as long as I can remember to think about this image when I'm there but maybe I'll bring it with me when I go so I can refer to it when I'm anxious,that sounds like a great idea
17,that sounds like a great idea,hi there I'm just here to get a refill on my insulin prescription
18,hi there I'm just here to get a refill on my insulin prescription,hi my name is Laura I'm the pharmacist let me just look you up in the computer
19,hi my name is Laura I'm the pharmacist let me just look you up in the computer,sure
20,sure,your person laughing
21,your person laughing,reset feels
22,reset feels,and your date of birth
23,and your date of birth,April 28 1962
24,April 28 1962,okay I see that you've filled it here before
25,okay I see that you've filled it here before,mm-hmm
26,mm-hmm,tell me about how you're using the insulin
27,tell me about how you're using the insulin,okay um so usually at night I'll check my blood sugar and then if it's pretty high like about like 15 or so I'll use it that day so usually end up using it about three or four times a week
28,so you're testing a lot,mm-hmm
29,mm-hmm,at least every day
30,at least every day,yes
31,yes,and then you are using the unplanned when you feel like your blood sugars are running high
